siren_epci,nom_complet,form_epci,insee,nom_com,pop_total
200069193,CC de la Dombes,CC,01001,L'Abergement-Clémenciat,10657
240100883,CC de la Plaine de l'Ain,CC,01002,L'Abergement-de-Varey,273851
240100883,CC de la Plaine de l'Ain,CC,01004,Ambérieu-en-Bugey,124367
200042497,CC Dombes Saône Vallée,CC,01005,Ambérieux-en-Dombes,34092
200040350,CC Bugey Sud,CC,01006,Ambléon,5959
240100883,CC de la Plaine de l'Ain,CC,01007,Ambronay,32141
240100883,CC de la Plaine de l'Ain,CC,01008,Ambutrix,30855
200040350,CC Bugey Sud,CC,01009,Andert-et-Condon,142731
200070852,CC Usses et Rhône,CC,01010,Anglefort,6501
200042935,CA Haut - Bugey Agglomération,CA,01011,Apremont,146361
200042935,CA Haut - Bugey Agglomération,CA,01012,Aranc,186170
240100883,CC de la Plaine de l'Ain,CC,01013,Arandas,237956
200042935,CA Haut - Bugey Agglomération,CA,01014,Arbent,142622
200040350,CC Bugey Sud,CC,01015,Arboys en Bugey,162145
200071371,CC Bresse et Saône,CC,01016,Arbigny,266883
240100883,CC de la Plaine de l'Ain,CC,01017,Argis,270444
200040350,CC Bugey Sud,CC,01019,Armix,198497
200042497,CC Dombes Saône Vallée,CC,01021,Ars-sur-Formans,68223
200040350,CC Bugey Sud,CC,01022,Artemare,156665
200071371,CC Bresse et Saône,CC,01023,Asnières-sur-Saône,244707
200071751,CA du Bassin de Bourg-en-Bresse,CA,01024,Attignat,105216
200071371,CC Bresse et Saône,CC,01025,Bâgé-Dommartin,31013
200071371,CC Bresse et Saône,CC,01026,Bâgé-le-Châtel,83095
240100610,CC de la Côtière à Montluel,CC,01027,Balan,108430
200069193,CC de la Dombes,CC,01028,Baneins,75158
200071751,CA du Bassin de Bourg-en-Bresse,CA,01029,Beaupont,269451
200042497,CC Dombes Saône Vallée,CC,01030,Beauregard,168036
200042935,CA Haut - Bugey Agglomération,CA,01031,Bellignat,293451
240100610,CC de la Côtière à Montluel,CC,01032,Béligneux,112404
240100891,CC du Pays Bellegardien (CCPB),CC,01033,Valserhône,124158
200040350,CC Bugey Sud,CC,01034,Belley,171652
200042935,CA Haut - Bugey Agglomération,CA,01035,Belleydoux,284788
200040350,CC Bugey Sud,CC,01036,Valromey-sur-Séran,7835
240100883,CC de la Plaine de l'Ain,CC,01037,Bénonces,245112
200071751,CA du Bassin de Bourg-en-Bresse,CA,01038,Bény,187375
200040350,CC Bugey Sud,CC,01039,Béon,86973
200071751,CA du Bassin de Bourg-en-Bresse,CA,01040,Béréziat,171906
